subject,text
Math,"mathematics is the study of numbers, shapes, and logical patterns."
Science,science explores the natural world through experiments and observation.
History,history involves studying past events to understand human civilization.
English,"english focuses on language, grammar, and effective communication."
Computer Science,"computer science deals with computation, algorithms, and programming."
Math,mathematics improves problem-solving and analytical thinking.
Science,science enhances curiosity and innovation through research.
History,history teaches lessons from ancient and modern times.
English,english helps express thoughts clearly through reading and writing.
Computer Science,computer science powers modern technology and artificial intelligence.
